,bhsa2021_word_n,book,chapter,verse,bhsa_text,voc_lex_utf8,HStrong,freq_lex
336132,336133,Job,1,5,כֻּלָּם֒ ,כֹּל,H3605,5412
336133,336134,Job,1,5,כִּ֚י ,כִּי,H3588,4483
336134,336135,Job,1,5,אָמַ֣ר ,אמר,H559,5307
336135,336136,Job,1,5,אִיֹּ֔וב ,אִיֹּוב,H347,58
336136,336137,Job,1,5,אוּלַי֙ ,אוּלַי,H194,45
336137,336138,Job,1,5,חָטְא֣וּ ,חטא,H2398,237
336138,336139,Job,1,5,בָנַ֔י ,בֵּן,H1121,4937
336139,336140,Job,1,5,וּ,וְ,H9000,50272
336140,336141,Job,1,5,בֵרֲכ֥וּ ,ברך,H1288,327
336141,336142,Job,1,5,אֱלֹהִ֖ים ,אֱלֹהִים,H430,2601
336142,336143,Job,1,5,בִּ,בְּ,H9003,15542
336143,336144,Job,1,5,לְבָבָ֑ם ,לֵבָב,H3824,252
336144,336145,Job,1,5,כָּ֛כָה ,כָּכָה,H3602,37
336145,336146,Job,1,5,יַעֲשֶׂ֥ה ,עשׂה,H6213,2629
336146,336147,Job,1,5,אִיֹּ֖וב ,אִיֹּוב,H347,58
336147,336148,Job,1,5,כָּל־,כֹּל,H3605,5412
336148,336149,Job,1,5,הַ,הַ,H9009,30386
336149,336150,Job,1,5,יָּמִֽים׃ פ ,יֹום,H3117,2304
336150,336151,Job,1,6,וַ,וְ,H9000,50272
336151,336152,Job,1,6,יְהִ֣י ,היה,H1961,3561
336152,336153,Job,1,6,הַ,הַ,H9009,30386
336153,336154,Job,1,6,יֹּ֔ום ,יֹום,H3117,2304
336154,336155,Job,1,6,וַ,וְ,H9000,50272
336155,336156,Job,1,6,יָּבֹ֨אוּ֙ ,בוא,H935,2570
336156,336157,Job,1,6,בְּנֵ֣י ,בֵּן,H1121,4937
336157,336158,Job,1,6,הָ,הַ,H9009,30386
336158,336159,Job,1,6,אֱלֹהִ֔ים ,אֱלֹהִים,H430,2601
