tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
61054,Jean,12,39,διὰ,διά,G1223,666
61055,Jean,12,39,τοῦτο,οὗτος,G3778,1380
61056,Jean,12,39,οὐκ,οὐ,G3756,1667
61057,Jean,12,39,ἠδύναντο,δύναμαι,G1410,209
61058,Jean,12,39,πιστεύειν,πιστεύω,G4100,238
61059,Jean,12,39,ὅτι,ὅτι,G3754,1291
61060,Jean,12,39,πάλιν,πάλιν,G3825,138
61061,Jean,12,39,εἶπεν,ἔπω,G2036,929
61062,Jean,12,39,Ἠσαΐας,Ἡσαΐας,G2268,22
61063,Jean,12,40,τετύφλωκεν,τυφλόω,G5186,3
61064,Jean,12,40,αὐτῶν,αὐτός,G0846,5558
61065,Jean,12,40,τοὺς,ὁ,G3588,19785
61066,Jean,12,40,ὀφθαλμοὺς,ὀφθαλμός,G3788,100
61067,Jean,12,40,καὶ,καί,G2532,9108
61068,Jean,12,40,ἐπώρωσεν,πωρόω,G4456,5
61069,Jean,12,40,αὐτῶν,αὐτός,G0846,5558
61070,Jean,12,40,τὴν,ὁ,G3588,19785
61071,Jean,12,40,καρδίαν,καρδία,G2588,155
61072,Jean,12,40,ἵνα,ἵνα,G2443,668
61073,Jean,12,40,μὴ,μή,G3361,1065
61074,Jean,12,40,ἴδωσιν,εἴδω,G1492,374
61075,Jean,12,40,τοῖς,ὁ,G3588,19785
61076,Jean,12,40,ὀφθαλμοῖς,ὀφθαλμός,G3788,100
61077,Jean,12,40,καὶ,καί,G2532,9108
61078,Jean,12,40,νοήσωσιν,νοέω,G3539,14
61079,Jean,12,40,τῆ,ὁ,G3588,19785
61080,Jean,12,40,καρδίᾳ,καρδία,G2588,155
61081,Jean,12,40,καὶ,καί,G2532,9108
61082,Jean,12,40,στραφῶσιν,στρέφω,G4762,21
61083,Jean,12,40,καὶ,καί,G2532,9108
61084,Jean,12,40,ἰάσομαι,ἰάομαι,G2390,26
61085,Jean,12,40,αὐτούς,αὐτός,G0846,5558
61086,Jean,12,41,Ταῦτα,οὗτος,G3778,1380
61087,Jean,12,41,εἶπεν,ἔπω,G2036,929
61088,Jean,12,41,Ἠσαΐας,Ἡσαΐας,G2268,22
61089,Jean,12,41,ὅτι,ὅτι,G3754,1291
61090,Jean,12,41,εἶδεν,εἴδω,G1492,374
61091,Jean,12,41,τὴν,ὁ,G3588,19785
61092,Jean,12,41,δόξαν,δόξα,G1391,166
61093,Jean,12,41,αὐτοῦ,αὐτός,G0846,5558
61094,Jean,12,41,καὶ,καί,G2532,9108
61095,Jean,12,41,ἐλάλησεν,λαλέω,G2980,296
61096,Jean,12,41,περὶ,περί,G4012,331
61097,Jean,12,41,αὐτοῦ,αὐτός,G0846,5558
61098,Jean,12,42,ὅμως,ὅμως,G3676,3
61099,Jean,12,42,μέντοι,μέντοι,G3305,8
61100,Jean,12,42,καὶ,καί,G2532,9108
61101,Jean,12,42,ἐκ,ἐκ,G1537,912
61102,Jean,12,42,τῶν,ὁ,G3588,19785
61103,Jean,12,42,ἀρχόντων,ἄρχων,G0758,37
61104,Jean,12,42,πολλοὶ,πολύς,G4183,365
61105,Jean,12,42,ἐπίστευσαν,πιστεύω,G4100,238
61106,Jean,12,42,εἰς,εἰς,G1519,1757
61107,Jean,12,42,αὐτόν,αὐτός,G0846,5558
61108,Jean,12,42,ἀλλὰ,ἀλλά,G0235,638
61109,Jean,12,42,διὰ,διά,G1223,666
61110,Jean,12,42,τοὺς,ὁ,G3588,19785
61111,Jean,12,42,Φαρισαίους,Φαρισαῖος,G5330,97
61112,Jean,12,42,οὐχ,οὐ,G3756,1667
61113,Jean,12,42,ὡμολόγουν,ὁμολογέω,G3670,26
61114,Jean,12,42,ἵνα,ἵνα,G2443,668
61115,Jean,12,42,μὴ,μή,G3361,1065
61116,Jean,12,42,ἀποσυνάγωγοι,ἀποσυνάγωγος,G0656,3
61117,Jean,12,42,γένωνται,γίνομαι,G1096,662
61118,Jean,12,43,ἠγάπησαν,ἀγαπάω,G0025,143
61119,Jean,12,43,γὰρ,γάρ,G1063,1039
61120,Jean,12,43,τὴν,ὁ,G3588,19785
61121,Jean,12,43,δόξαν,δόξα,G1391,166
61122,Jean,12,43,τῶν,ὁ,G3588,19785
61123,Jean,12,43,ἀνθρώπων,ἄνθρωπος,G0444,549
61124,Jean,12,43,μᾶλλον,μᾶλλον,G3123,81
61125,Jean,12,43,ἤπερ,ἤπερ,G2260,1
61126,Jean,12,43,τὴν,ὁ,G3588,19785
61127,Jean,12,43,δόξαν,δόξα,G1391,166
61128,Jean,12,43,τοῦ,ὁ,G3588,19785
61129,Jean,12,43,θεοῦ,θεός,G2316,1311
61130,Jean,12,44,Ἰησοῦς,Ἰησοῦς,G2424,910
61131,Jean,12,44,δὲ,δέ,G1161,2771
61132,Jean,12,44,ἔκραξεν,κράζω,G2896,53
61133,Jean,12,44,καὶ,καί,G2532,9108
61134,Jean,12,44,εἶπεν,ἔπω,G2036,929
61135,Jean,12,44,ὁ,ὁ,G3588,19785
61136,Jean,12,44,πιστεύων,πιστεύω,G4100,238
61137,Jean,12,44,εἰς,εἰς,G1519,1757
61138,Jean,12,44,ἐμὲ,ἐγώ,G1473,2462
61139,Jean,12,44,οὐ,οὐ,G3756,1667
61140,Jean,12,44,πιστεύει,πιστεύω,G4100,238
61141,Jean,12,44,εἰς,εἰς,G1519,1757
61142,Jean,12,44,ἐμὲ,ἐγώ,G1473,2462
61143,Jean,12,44,ἀλλ᾽,ἀλλά,G0235,638
61144,Jean,12,44,εἰς,εἰς,G1519,1757
61145,Jean,12,44,τὸν,ὁ,G3588,19785
61146,Jean,12,44,πέμψαντά,πέμπω,G3992,79
61147,Jean,12,44,με,ἐγώ,G1473,2462
61148,Jean,12,45,καὶ,καί,G2532,9108
61149,Jean,12,45,ὁ,ὁ,G3588,19785
61150,Jean,12,45,θεωρῶν,θεωρέω,G2334,57
61151,Jean,12,45,ἐμὲ,ἐγώ,G1473,2462
61152,Jean,12,45,θεωρεῖ,θεωρέω,G2334,57
61153,Jean,12,45,τὸν,ὁ,G3588,19785
61154,Jean,12,45,πέμψαντά,πέμπω,G3992,79
61155,Jean,12,45,με,ἐγώ,G1473,2462
61156,Jean,12,46,ἐγὼ,ἐγώ,G1473,2462
61157,Jean,12,46,φῶς,φῶς,G5457,73
61158,Jean,12,46,εἰς,εἰς,G1519,1757
61159,Jean,12,46,τὸν,ὁ,G3588,19785
61160,Jean,12,46,κόσμον,κόσμος,G2889,185
61161,Jean,12,46,ἐλήλυθα,ἔρχομαι,G2064,630
61162,Jean,12,46,ἵνα,ἵνα,G2443,668
61163,Jean,12,46,πᾶς,πᾶς,G3956,1236
61164,Jean,12,46,ὁ,ὁ,G3588,19785
61165,Jean,12,46,πιστεύων,πιστεύω,G4100,238
61166,Jean,12,46,εἰς,εἰς,G1519,1757
61167,Jean,12,46,ἐμὲ,ἐγώ,G1473,2462
61168,Jean,12,46,ἐν,ἐν,G1722,2728
61169,Jean,12,46,τῆ,ὁ,G3588,19785
61170,Jean,12,46,σκοτίᾳ,σκοτία,G4653,16
61171,Jean,12,46,μὴ,μή,G3361,1065
61172,Jean,12,46,μείνῃ,μένω,G3306,118
61173,Jean,12,47,καὶ,καί,G2532,9108
61174,Jean,12,47,ἐάν,ἐάν,G1437,327
61175,Jean,12,47,τίς,τις,G5100,525
61176,Jean,12,47,μου,ἐγώ,G1473,2462
61177,Jean,12,47,ἀκούσῃ,ἀκούω,G0191,426
61178,Jean,12,47,τῶν,ὁ,G3588,19785
61179,Jean,12,47,ῥημάτων,ῥῆμα,G4487,68
61180,Jean,12,47,καὶ,καί,G2532,9108
61181,Jean,12,47,μὴ,μή,G3361,1065
61182,Jean,12,47,φυλάξῃ,φυλάσσω,G5442,31
61183,Jean,12,47,ἐγὼ,ἐγώ,G1473,2462
61184,Jean,12,47,οὐ,οὐ,G3756,1667
61185,Jean,12,47,κρίνω,κρίνω,G2919,113
61186,Jean,12,47,αὐτόν,αὐτός,G0846,5558
61187,Jean,12,47,οὐ,οὐ,G3756,1667
61188,Jean,12,47,γὰρ,γάρ,G1063,1039
61189,Jean,12,47,ἦλθον,ἔρχομαι,G2064,630
61190,Jean,12,47,ἵνα,ἵνα,G2443,668
61191,Jean,12,47,κρίνω,κρίνω,G2919,113
61192,Jean,12,47,τὸν,ὁ,G3588,19785
61193,Jean,12,47,κόσμον,κόσμος,G2889,185
61194,Jean,12,47,ἀλλ᾽,ἀλλά,G0235,638
61195,Jean,12,47,ἵνα,ἵνα,G2443,668
61196,Jean,12,47,σώσω,σῴζω,G4982,106
61197,Jean,12,47,τὸν,ὁ,G3588,19785
61198,Jean,12,47,κόσμον,κόσμος,G2889,185
61199,Jean,12,48,ὁ,ὁ,G3588,19785
61200,Jean,12,48,ἀθετῶν,ἀθετέω,G0114,16
61201,Jean,12,48,ἐμὲ,ἐγώ,G1473,2462
61202,Jean,12,48,καὶ,καί,G2532,9108
61203,Jean,12,48,μὴ,μή,G3361,1065
61204,Jean,12,48,λαμβάνων,λαμβάνω,G2983,257
61205,Jean,12,48,τὰ,ὁ,G3588,19785
61206,Jean,12,48,ῥήματά,ῥῆμα,G4487,68
61207,Jean,12,48,μου,ἐγώ,G1473,2462
61208,Jean,12,48,ἔχει,ἔχω,G2192,706
61209,Jean,12,48,τὸν,ὁ,G3588,19785
61210,Jean,12,48,κρίνοντα,κρίνω,G2919,113
61211,Jean,12,48,αὐτόν,αὐτός,G0846,5558
61212,Jean,12,48,ὁ,ὁ,G3588,19785
61213,Jean,12,48,λόγος,λόγος,G3056,330
61214,Jean,12,48,ὃν,ὅς,G3739,1408
61215,Jean,12,48,ἐλάλησα,λαλέω,G2980,296
61216,Jean,12,48,ἐκεῖνος,ἐκεῖνος,G1565,243
61217,Jean,12,48,κρινεῖ,κρίνω,G2919,113
61218,Jean,12,48,αὐτὸν,αὐτός,G0846,5558
61219,Jean,12,48,ἐν,ἐν,G1722,2728
61220,Jean,12,48,τῆ,ὁ,G3588,19785
61221,Jean,12,48,ἐσχάτῃ,ἔσχατος,G2078,52
61222,Jean,12,48,ἡμέρᾳ,ἡμέρα,G2250,388
61223,Jean,12,49,ὅτι,ὅτι,G3754,1291
61224,Jean,12,49,ἐγὼ,ἐγώ,G1473,2462
61225,Jean,12,49,ἐξ,ἐκ,G1537,912
61226,Jean,12,49,ἐμαυτοῦ,ἐμαυτοῦ,G1683,37
61227,Jean,12,49,οὐκ,οὐ,G3756,1667
61228,Jean,12,49,ἐλάλησα,λαλέω,G2980,296
61229,Jean,12,49,ἀλλ᾽,ἀλλά,G0235,638
61230,Jean,12,49,ὁ,ὁ,G3588,19785
61231,Jean,12,49,πέμψας,πέμπω,G3992,79
61232,Jean,12,49,με,ἐγώ,G1473,2462
61233,Jean,12,49,πατήρ,πατήρ,G3962,414
61234,Jean,12,49,αὐτός,αὐτός,G0846,5558
61235,Jean,12,49,μοι,ἐγώ,G1473,2462
61236,Jean,12,49,ἐντολὴν,ἐντολή,G1785,68
61237,Jean,12,49,δέδωκεν,δίδωμι,G1325,409
61238,Jean,12,49,τί,τίς,G5101,558
61239,Jean,12,49,εἴπω,ἔπω,G2036,929
61240,Jean,12,49,καὶ,καί,G2532,9108
61241,Jean,12,49,τί,τίς,G5101,558
61242,Jean,12,49,λαλήσω,λαλέω,G2980,296
