,bhsa2021_word_n,book,chapter,verse,orig,lex,strong,freq
406904,406905,2 Chroniques,1,4,קִּרְיַ֣ת יְעָרִ֔ים ,קִרְיַת יְעָרִים,H7157,19
406905,406906,2 Chroniques,1,4,בַּֽ,בְּ,H9003,15542
406906,406907,2 Chroniques,1,4,,הַ,H9009,30386
406907,406908,2 Chroniques,1,4,הֵכִ֥ין ,כון,H3559,216
406908,406909,2 Chroniques,1,4,לֹ֖ו ,לְ,H9005,20069
406909,406910,2 Chroniques,1,4,דָּוִ֑יד ,דָּוִד,H1732,1075
406910,406911,2 Chroniques,1,4,כִּ֧י ,כִּי,H3588,4483
406911,406912,2 Chroniques,1,4,נָֽטָה־,נטה,H5186,214
406912,406913,2 Chroniques,1,4,לֹ֛ו ,לְ,H9005,20069
406913,406914,2 Chroniques,1,4,אֹ֖הֶל ,אֹהֶל,H168,345
406914,406915,2 Chroniques,1,4,בִּ,בְּ,H9003,15542
406915,406916,2 Chroniques,1,4,ירוּשָׁלִָֽם׃ ,יְרוּשָׁלִַם,H3389,643
406916,406917,2 Chroniques,1,5,וּ,וְ,H9000,50272
406917,406918,2 Chroniques,1,5,מִזְבַּ֣ח ,מִזְבֵּחַ,H4196,401
406918,406919,2 Chroniques,1,5,הַ,הַ,H9009,30386
406919,406920,2 Chroniques,1,5,נְּחֹ֗שֶׁת ,נְחֹשֶׁת,H5178,139
406920,406921,2 Chroniques,1,5,אֲשֶׁ֤ר ,אֲשֶׁר,H834,5500
406921,406922,2 Chroniques,1,5,עָשָׂה֙ ,עשׂה,H6213,2629
406922,406923,2 Chroniques,1,5,בְּצַלְאֵל֙ ,בְּצַלְאֵל,H1212,9
406923,406924,2 Chroniques,1,5,בֶּן־,בֵּן,H1121,4937
406924,406925,2 Chroniques,1,5,אוּרִ֣י ,אוּרִי,H221,7
406925,406926,2 Chroniques,1,5,בֶן־,בֵּן,H1121,4937
406926,406927,2 Chroniques,1,5,ח֔וּר ,חוּר,H2354,16
406927,406928,2 Chroniques,1,5,שָׂ֕ם ,שׂים,H7760,583
406928,406929,2 Chroniques,1,5,לִ,לְ,H9005,20069
406929,406930,2 Chroniques,1,5,פְנֵ֖י ,פָּנֶה,H6440,2127
406930,406931,2 Chroniques,1,5,מִשְׁכַּ֣ן ,מִשְׁכָּן,H4908,139
