w,book,chapter,verse,orig,lex,strong,freq
125746,1Rois,1,9,אַנְשֵׁ֥י,אֱנוֹשׁ,H0582,566.0
125747,1Rois,1,9,יְהוּדָ֖ה,יְהוּדָה,H3063,820.0
125748,1Rois,1,9,עַבְדֵ֥י,עֶ֫בֶד,H5650,801.0
125749,1Rois,1,9,הַמֶּֽלֶךְ׃,מֶ֫לֶךְ,H4428,2526.0
125750,1Rois,1,10,וְֽאֶת־,אֵת,H0853,10946.0
125751,1Rois,1,10,נָתָן֩,נָתָן,H5416,42.0
125752,1Rois,1,10,הַנָּבִ֨יא,נָבִיא,H5030,315.0
125753,1Rois,1,10,וּבְנָיָ֜הוּ,בְּנָיָ֫הוּ,H1141,42.0
125754,1Rois,1,10,וְאֶת־,אֵת,H0853,10946.0
125755,1Rois,1,10,הַגִּבּוֹרִ֛ים,גִּבּוֹר,H1368,159.0
125756,1Rois,1,10,וְאֶת־,אֵת,H0853,10946.0
125757,1Rois,1,10,שְׁלֹמֹ֥ה,שְׁלֹמֹה,H8010,293.0
125758,1Rois,1,10,אָחִ֖יו,אָח,H0251,630.0
125759,1Rois,1,10,לֹ֥א,לֹא,H3808,5170.0
125760,1Rois,1,10,קָרָֽא׃,קָרָא,H7121,733.0
125761,1Rois,1,11,וַיֹּ֣אמֶר,אָמַר,H0559,5309.0
125762,1Rois,1,11,נָתָ֗ן,נָתָן,H5416,42.0
125763,1Rois,1,11,אֶל־,אֶל,H0413,5515.0
125764,1Rois,1,11,בַּת־,בַּת־שֶׁ֫בַע,H1339,22.0
125765,1Rois,1,11,שֶׁ֤בַע,בַּת־שֶׁ֫בַע,H1339,22.0
125766,1Rois,1,11,אֵם־,אֵם,H0517,220.0
125767,1Rois,1,11,שְׁלֹמֹה֙,שְׁלֹמֹה,H8010,293.0
125768,1Rois,1,11,לֵאמֹ֔ר,אָמַר,H0559,5309.0
125769,1Rois,1,11,הֲל֣וֹא,לֹא,H3808,5170.0
125770,1Rois,1,11,שָׁמַ֔עַתְּ,שָׁמַע,H8085,1160.0
125771,1Rois,1,11,כִּ֥י,כִּי,H3588,4483.0
125772,1Rois,1,11,מָלַ֖ךְ,מָלַךְ,H4427,348.0
125773,1Rois,1,11,אֲדֹנִיָּ֣הוּ,אֲדֹנִיָּ֫הוּ,H0138,26.0
125774,1Rois,1,11,בֶן־,בֵּן,H1121,4959.0
125775,1Rois,1,11,חַגִּ֑ית,חַגִּית,H2294,5.0
125776,1Rois,1,11,וַאֲדֹנֵ֥ינוּ,אָדוֹן,H0113,333.0
125777,1Rois,1,11,דָוִ֖ד,דָּוִד,H1732,1075.0
125778,1Rois,1,11,לֹ֥א,לֹא,H3808,5170.0
125779,1Rois,1,11,יָדָֽע׃,יָדַע,H3045,946.0
125780,1Rois,1,12,וְעַתָּ֕ה,עַתָּ֫ה,H6258,433.0
125781,1Rois,1,12,לְכִ֛י,הָלַךְ,H1980,1549.0
125782,1Rois,1,12,אִיעָצֵ֥ךְ,יָעַץ,H3289,79.0
125783,1Rois,1,12,נָ֖א,נָא,H4994,404.0
125784,1Rois,1,12,עֵצָ֑ה,עֵצָה,H6098,89.0
125785,1Rois,1,12,וּמַלְּטִי֙,מָלַט,H4422,95.0
125786,1Rois,1,12,אֶת־,אֵת,H0853,10946.0
125787,1Rois,1,12,נַפְשֵׁ֔ךְ,נֶ֫פֶשׁ,H5315,754.0
125788,1Rois,1,12,וְאֶת־,אֵת,H0853,10946.0
125789,1Rois,1,12,נֶ֥פֶשׁ,נֶ֫פֶשׁ,H5315,754.0
125790,1Rois,1,12,בְּנֵ֖ךְ,בֵּן,H1121,4959.0
125791,1Rois,1,12,שְׁלֹמֹֽה׃,שְׁלֹמֹה,H8010,293.0
125792,1Rois,1,13,לְכִ֞י,הָלַךְ,H1980,1549.0
125793,1Rois,1,13,וּבֹ֣אִי׀,בּוֹא,H0935,2572.0
125794,1Rois,1,13,אֶל־,אֶל,H0413,5515.0
125795,1Rois,1,13,הַמֶּ֣לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125796,1Rois,1,13,דָּוִ֗ד,דָּוִד,H1732,1075.0
125797,1Rois,1,13,וְאָמַ֤רְתְּ,אָמַר,H0559,5309.0
125798,1Rois,1,13,אֵלָיו֙,אֶל,H0413,5515.0
125799,1Rois,1,13,הֲלֹֽא־,לֹא,H3808,5170.0
125800,1Rois,1,13,אַתָּ֞ה,אַתָּ֫ה,H0859,1094.0
125801,1Rois,1,13,אֲדֹנִ֣י,אָדוֹן,H0113,333.0
125802,1Rois,1,13,הַמֶּ֗לֶךְ,מֶ֫לֶךְ,H4428,2526.0
125803,1Rois,1,13,נִשְׁבַּ֤עְתָּ,שָׁבַע,H7650,186.0
125804,1Rois,1,13,לַאֲמָֽתְךָ֙,אָמָה,H0519,56.0
125805,1Rois,1,13,לֵאמֹ֔ר,אָמַר,H0559,5309.0
125806,1Rois,1,13,כִּֽי־,כִּי,H3588,4483.0
125807,1Rois,1,13,שְׁלֹמֹ֤ה,שְׁלֹמֹה,H8010,293.0
125808,1Rois,1,13,בְנֵךְ֙,בֵּן,H1121,4959.0
125809,1Rois,1,13,יִמְלֹ֣ךְ,מָלַךְ,H4427,348.0
125810,1Rois,1,13,אַחֲרַ֔י,אַחַר,H0310,716.0
125811,1Rois,1,13,וְה֖וּא,הוּא,H1931,1878.0
125812,1Rois,1,13,יֵשֵׁ֣ב,יָשַׁב,H3427,1078.0
125813,1Rois,1,13,עַל־,עַל,H5921,5774.0
125814,1Rois,1,13,כִּסְאִ֑י,כִּסֵּא,H3678,135.0
