,tagnt_word_n,book,chapter,verse,orig,lex,strong,freq
113019,116986,2 Timothée,1,10,φανερωθεῖσαν,φανερόω,G5319,49
113020,116987,2 Timothée,1,10,δὲ,δέ,G1161,2771
113021,116988,2 Timothée,1,10,νῦν,νῦν,G3568,144
113022,116989,2 Timothée,1,10,διὰ,διά,G1223,666
113023,116990,2 Timothée,1,10,τῆς,ὁ,G3588,19785
113024,116991,2 Timothée,1,10,ἐπιφανείας,ἐπιφάνεια,G2015,6
113025,116992,2 Timothée,1,10,τοῦ,ὁ,G3588,19785
113026,116993,2 Timothée,1,10,σωτῆρος,σωτήρ,G4990,24
113027,116994,2 Timothée,1,10,ἡμῶν,ἐγώ,G1473,2462
113028,116995,2 Timothée,1,10,Χριστοῦ,Χριστός,G5547,529
113029,116996,2 Timothée,1,10,Ἰησοῦ,Ἰησοῦς,G2424,910
113030,116997,2 Timothée,1,10,καταργήσαντος,καταργέω,G2673,27
113031,116998,2 Timothée,1,10,μὲν,μέν,G3303,178
113032,116999,2 Timothée,1,10,τὸν,ὁ,G3588,19785
113033,117000,2 Timothée,1,10,θάνατον,θάνατος,G2288,120
113034,117001,2 Timothée,1,10,φωτίσαντος,φωτίζω,G5461,11
113035,117002,2 Timothée,1,10,δὲ,δέ,G1161,2771
113036,117003,2 Timothée,1,10,ζωὴν,ζωή,G2222,135
113037,117004,2 Timothée,1,10,καὶ,καί,G2532,9108
113038,117005,2 Timothée,1,10,ἀφθαρσίαν,ἀφθαρσία,G0861,8
113039,117006,2 Timothée,1,10,διὰ,διά,G1223,666
113040,117007,2 Timothée,1,10,τοῦ,ὁ,G3588,19785
113041,117008,2 Timothée,1,10,εὐαγγελίου,εὐαγγέλιον,G2098,76
113042,117009,2 Timothée,1,11,εἰς,εἰς,G1519,1757
113043,117010,2 Timothée,1,11,ὃ,ὅς,G3739,1408
113044,117011,2 Timothée,1,11,ἐτέθην,τίθημι,G5087,100
113045,117012,2 Timothée,1,11,ἐγὼ,ἐγώ,G1473,2462
113046,117013,2 Timothée,1,11,κῆρυξ,κῆρυξ,G2783,3
113047,117014,2 Timothée,1,11,καὶ,καί,G2532,9108
113048,117015,2 Timothée,1,11,ἀπόστολος,ἀπόστολος,G0652,79
113049,117016,2 Timothée,1,11,καὶ,καί,G2532,9108
113050,117017,2 Timothée,1,11,διδάσκαλος,διδάσκαλος,G1320,58
113051,117019,2 Timothée,1,12,δι᾽,διά,G1223,666
113052,117020,2 Timothée,1,12,ἣν,ὅς,G3739,1408
113053,117021,2 Timothée,1,12,αἰτίαν,αἰτία,G0156,20
113054,117022,2 Timothée,1,12,καὶ,καί,G2532,9108
113055,117023,2 Timothée,1,12,ταῦτα,οὗτος,G3778,1380
113056,117024,2 Timothée,1,12,πάσχω,πάσχω,G3958,41
113057,117025,2 Timothée,1,12,ἀλλ᾽,ἀλλά,G0235,638
113058,117026,2 Timothée,1,12,οὐκ,οὐ,G3756,1667
113059,117027,2 Timothée,1,12,ἐπαισχύνομαι,ἐπαισχύνομαι,G1870,11
113060,117028,2 Timothée,1,12,οἶδα,εἴδω,G6063,280
113061,117029,2 Timothée,1,12,γὰρ,γάρ,G1063,1039
113062,117030,2 Timothée,1,12,ᾧ,ὅς,G3739,1408
113063,117031,2 Timothée,1,12,πεπίστευκα,πιστεύω,G4100,238
113064,117032,2 Timothée,1,12,καὶ,καί,G2532,9108
113065,117033,2 Timothée,1,12,πέπεισμαι,πείθω,G3982,52
113066,117034,2 Timothée,1,12,ὅτι,ὅτι,G3754,1291
113067,117035,2 Timothée,1,12,δυνατός,δυνατός,G1415,32
113068,117036,2 Timothée,1,12,ἐστιν,εἰμί,G1510,2458
113069,117037,2 Timothée,1,12,τὴν,ὁ,G3588,19785
113070,117038,2 Timothée,1,12,παραθήκην,παραθήκη,G3866,3
113071,117039,2 Timothée,1,12,μου,ἐγώ,G1473,2462
113072,117040,2 Timothée,1,12,φυλάξαι,φυλάσσω,G5442,31
113073,117041,2 Timothée,1,12,εἰς,εἰς,G1519,1757
113074,117042,2 Timothée,1,12,ἐκείνην,ἐκεῖνος,G1565,243
113075,117043,2 Timothée,1,12,τὴν,ὁ,G3588,19785
113076,117044,2 Timothée,1,12,ἡμέραν,ἡμέρα,G2250,388
113077,117045,2 Timothée,1,13,Ὑποτύπωσιν,ὑποτύπωσις,G5296,2
113078,117046,2 Timothée,1,13,ἔχε,ἔχω,G2192,706
113079,117047,2 Timothée,1,13,ὑγιαινόντων,ὑγιαίνω,G5198,12
113080,117048,2 Timothée,1,13,λόγων,λόγος,G3056,330
113081,117049,2 Timothée,1,13,ὧν,ὅς,G3739,1408
113082,117050,2 Timothée,1,13,παρ᾽,παρά,G3844,194
113083,117051,2 Timothée,1,13,ἐμοῦ,ἐγώ,G1700,113
113084,117052,2 Timothée,1,13,ἤκουσας,ἀκούω,G0191,426
113085,117053,2 Timothée,1,13,ἐν,ἐν,G1722,2728
113086,117054,2 Timothée,1,13,πίστει,πίστις,G4102,242
113087,117055,2 Timothée,1,13,καὶ,καί,G2532,9108
113088,117056,2 Timothée,1,13,ἀγάπῃ,ἀγάπη,G0026,116
113089,117057,2 Timothée,1,13,τῆ,ὁ,G3588,19785
113090,117058,2 Timothée,1,13,ἐν,ἐν,G1722,2728
113091,117059,2 Timothée,1,13,Χριστῷ,Χριστός,G5547,529
113092,117060,2 Timothée,1,13,Ἰησοῦ,Ἰησοῦς,G2424,910
113093,117061,2 Timothée,1,14,τὴν,ὁ,G3588,19785
113094,117062,2 Timothée,1,14,καλὴν,καλός,G2570,101
113095,117063,2 Timothée,1,14,παραθήκην,παραθήκη,G3866,3
113096,117064,2 Timothée,1,14,φύλαξον,φυλάσσω,G5442,31
113097,117065,2 Timothée,1,14,διὰ,διά,G1223,666
113098,117066,2 Timothée,1,14,πνεύματος,πνεῦμα,G4151,378
113099,117067,2 Timothée,1,14,ἁγίου,ἅγιος,G0040,224
113100,117068,2 Timothée,1,14,τοῦ,ὁ,G3588,19785
113101,117069,2 Timothée,1,14,ἐνοικοῦντος,ἐνοικέω,G1774,4
113102,117070,2 Timothée,1,14,ἐν,ἐν,G1722,2728
113103,117071,2 Timothée,1,14,ἡμῖν,ἐγώ,G1473,2462
113104,117072,2 Timothée,1,15,Οἶδας,εἴδω,G6063,280
113105,117073,2 Timothée,1,15,τοῦτο,οὗτος,G3778,1380
113106,117074,2 Timothée,1,15,ὅτι,ὅτι,G3754,1291
113107,117075,2 Timothée,1,15,ἀπεστράφησάν,ἀποστρέφω,G0654,9
113108,117076,2 Timothée,1,15,με,ἐγώ,G1473,2462
113109,117077,2 Timothée,1,15,πάντες,πᾶς,G3956,1236
113110,117078,2 Timothée,1,15,οἱ,ὁ,G3588,19785
113111,117079,2 Timothée,1,15,ἐν,ἐν,G1722,2728
113112,117080,2 Timothée,1,15,τῆ,ὁ,G3588,19785
113113,117081,2 Timothée,1,15,Ἀσίᾳ,Ἀσία,G0773,19
113114,117082,2 Timothée,1,15,ὧν,ὅς,G3739,1408
113115,117083,2 Timothée,1,15,ἐστιν,εἰμί,G1510,2458
113116,117084,2 Timothée,1,15,Φύγελος,Φύγελλος,G5436,1
113117,117085,2 Timothée,1,15,καὶ,καί,G2532,9108
113118,117086,2 Timothée,1,15,Ἑρμογένης,Ἑρμογένης,G2061,1
113119,117087,2 Timothée,1,16,δῴη,δίδωμι,G1325,409
113120,117088,2 Timothée,1,16,ἔλεος,ἔλεος,G1656,27
113121,117089,2 Timothée,1,16,ὁ,ὁ,G3588,19785
113122,117090,2 Timothée,1,16,κύριος,κύριος,G2962,716
113123,117091,2 Timothée,1,16,τῷ,ὁ,G3588,19785
113124,117092,2 Timothée,1,16,Ὀνησιφόρου,Ὀνησίφορος,G3683,2
113125,117093,2 Timothée,1,16,οἴκῳ,οἶκος,G3624,112
113126,117094,2 Timothée,1,16,ὅτι,ὅτι,G3754,1291
113127,117095,2 Timothée,1,16,πολλάκις,πολλάκις,G4178,18
113128,117096,2 Timothée,1,16,με,ἐγώ,G1473,2462
113129,117097,2 Timothée,1,16,ἀνέψυξεν,ἀναψύχω,G0404,1
113130,117098,2 Timothée,1,16,καὶ,καί,G2532,9108
113131,117099,2 Timothée,1,16,τὴν,ὁ,G3588,19785
113132,117100,2 Timothée,1,16,ἅλυσίν,ἅλυσις,G0254,11
113133,117101,2 Timothée,1,16,μου,ἐγώ,G1473,2462
113134,117102,2 Timothée,1,16,οὐκ,οὐ,G3756,1667
113135,117103,2 Timothée,1,16,ἐπαισχύνθη,ἐπαισχύνομαι,G1870,11
113136,117104,2 Timothée,1,17,ἀλλὰ,ἀλλά,G0235,638
113137,117105,2 Timothée,1,17,γενόμενος,γίνομαι,G1096,662
113138,117106,2 Timothée,1,17,ἐν,ἐν,G1722,2728
113139,117107,2 Timothée,1,17,Ῥώμῃ,Ῥώμη,G4516,8
113140,117108,2 Timothée,1,17,σπουδαίως,σπουδαίως,G4709,3
113141,117109,2 Timothée,1,17,ἐζήτησέν,ζητέω,G2212,116
113142,117110,2 Timothée,1,17,με,ἐγώ,G1473,2462
